,Ticker,Name,Exchange,Category Name,Country
10352,ONGC.BO,Oil and Natural Gas Corp. Ltd.,BSE,,India
10809,VHL.NS,Vardhman Holdings Limited,NSI,Credit Services,India
10862,HINDUNILVR.NS,Hindustan Unilever Limited,NSI,Personal Products,India
10863,HINDPETRO.NS,Hindustan Petroleum Corporation Limited,NSI,,India
10871,HCC.NS,Hindustan Construction Company Limited,NSI,General Contractors,India
10986,PAPERPROD.BO,Huhtamaki PPL Limited,BSE,,India
11041,ITHL.BO,International Travel House Limited,BSE,,India
11104,HIRECT.NS,Hind Rectifiers Limited,NSI,Diversified Electronics,India
11116,HESTERBIO.BO,Hester Biosciences Ltd,BSE,,India
11127,HCC.BO,Hindustan Construction Company Limited,BSE,,India
11138,GUJHOTE.BO,Gujarat Hotels Ltd.,BSE,,India
11142,GRAVISSHO.BO,Graviss Hospitality Limited,BSE,,India
11187,BENARAS.BO,Benares Hotels Limited,BSE,,India
11282,ZENITHHE.BO,Zenith Healthcare Ltd,BSE,,India
11307,WONDERLA.BO,WONDERLA HOLIDAYS LTD,BSE,,India
11312,WHBRADY.BO,WH Brady & Company Limited,BSE,,India
11370,THEBYKE.BO,THE BYKE HOSPITALITY LTD.,BSE,,India
11392,SYNCOM.NS,Syncom Healthcare Limited,NSI,Drugs - Generic,India
11403,SUNILHITEC.BO,Sunil Hitech Engineers Ltd.,BSE,,India
11410,STERLINH6.BO,STERLINH6.BO,BSE,,India
11411,STERLINH.BO,Sterling Holiday Resorts (India) Limited,BSE,,India
11462,SHHARICH.BO,Shree Hari Chemicals Export Limited,BSE,,India
11465,SGJHL.BO,Shree Ganesh Jewellery House (I) Limited,BSE,,India
11501,ROHLTD.NS,Royal Orchid Hotels Limited,NSI,Lodging,India
11502,ROHLTD.BO,Royal Orchid Hotels Limited,BSE,,India
12146,JUBLINDS.NS,Jubilant Industries Limited,NSI,Rubber & Plastics,India
12152,JKIL.BO,J.Kumar Infraprojects Limited,BSE,,India
12178,JVLAGRO.BO,JVL Agro Industries Ltd,BSE,,India
12190,JISLJALEQS.NS,Jain Irrigation Systems Limited,NSI,Farm & Construction Machinery,India
12196,JAIBALAJI.BO,Jai Balaji Industries Ltd.,BSE,,India
12217,ZODJRDMKJ.NS,Zodiac-JRD-MKJ Limited,NSI,Jewelry Stores,India
12294,SBBJ.NS,State Bank of Bikaner & Jaipur,NSI,,India
12295,SBBJ.BO,State Bank of Bikaner & Jaipur,BSE,,India
12346,PCJEWELLER-EQ.NS,PC JEWELLER LIMITE INR10,NSI,,India
12405,JYOTI.BO,Jyoti Ltd.,BSE,,India
12406,JYOTHYLAB.NS,Jyothy Laboratories Limited,NSI,Personal Products,India
12418,JUBLFOOD.NS,Jubilant FoodWorks Limited,NSI,Restaurants,India
12419,JUBLFOOD.BO,Jubilant FoodWorks Limited,BSE,,India
12421,JUBILANT.NS,Jubilant Life Sciences Limited,NSI,Drug Manufacturers - Major,India
12429,JSWSTEEL.NS,JSW Steel Limited,NSI,,India
12430,JSWSTEEL.BO,JSW STEEL LTD.,BSE,,India
12431,JSWENERGY.BO,JSW Energy Limited,BSE,,India
12451,JPTSEC.BO,JPT Securities Ltd.,BSE,,India
12454,JPPOWER.NS,Jaiprakash Power Ventures Limited,NSI,Diversified Utilities,India
12455,JPPOWER.BO,Jaiprakash Power Ventures Limited,BSE,,India
12456,JPOLYINVST.NS,Jindal Poly Investment and Finance Company Limited,NSI,Asset Management,India
12459,JPINFRATEC.BO,Jaypee Infratech Limited,BSE,,India
12492,JKTYRE.NS,JK Tyre & Industries Limited,NSI,,India
12494,JKPAPER.NS,JK Paper Limited,NSI,Paper & Paper Products,India
12496,JISLDVREQS.NS,Jain Irrigation Systems Limited,NSI,Farm & Construction Machinery,India
12498,JINDCOT.NS,Jindal Cotex Limited,NSI,Textile Industrial,India
12499,JINDALSAW.NS,Jindal Saw Limited,NSI,Steel & Iron,India
12518,JETKINGQ.BO,Jetking Infotrain Limited,BSE,,India
12519,JETAIRWAYS.BO,Jet Airways (India) Ltd.,BSE,,India
12529,JCTLTD.BO,JCT Ltd.,BSE,,India
12533,JBFIND.NS,JBF Industries Limited,NSI,Textile Industrial,India
12546,JAMESWARREN.BO,JAMES WARREN TEA LTD,BSE,,India
12548,JAIHINDPRO.NS,Jaihind Projects Limited,NSI,General Contractors,India
12549,JAGSONFI.BO,Jagsonpal Finance & Leasing Ltd,BSE,,India
12550,JAGRAN.NS,Jagran Prakashan Limited,NSI,Publishing - Newspapers,India
12570,JMFINANCIL-EQ.NS,JM FINANCIAL INR1,NSI,,India
